Node_ID,Date,Rainfall_mm,Rainfall_Intensity_mm_hr,Soil_Type,Land_Slope_%,Fertilizer_N_kg_acre,Fertilizer_P_kg_acre,Pesticide_Conc_mg_L,Days_Since_Application,Runoff_Volume_m3,Reservoir_Volume_m3,Nitrate_mg_L,Phosphate_mg_L,Turbidity_NTU,pH,DO_mg_L,BOD_mg_L,COD_mg_L,Toxicity_Index,Toxicity_Class
V3,2026-04-13,114.21,18.61,Loamy,7.12,115.67,60.48,0.187,9,12245.98,576735.62,59.01,2.95,17.31,7.13,4.52,7.91,47.35,56.71,Moderate
V3,2026-12-15,123.33,27.11,Clay,7.97,145.33,61.08,0.528,6,5759.97,616244.89,67.84,10.6,9.09,7.95,5.8,6.47,21.57,52.46,Moderate
V1,2026-09-28,113.68,28.51,Clay,5.08,150.82,62.46,0.993,1,32970.1,472362.03,61.19,9.17,29.73,7.38,6.35,7.61,26.7,55.75,Moderate
V2,2026-04-17,94.44,30.32,Loamy,6.69,86.94,46.83,0.793,8,15102.28,450442.33,79.25,8.25,39.62,7.79,3.13,12.94,11.79,69.65,Moderate
V2,2026-03-13,12.79,24.86,Sandy,3.29,123.07,47.91,0.289,1,21444.98,691628.8,29.08,5.48,20.36,7.4,5.33,10.04,51.57,39.01,Low
V5,2026-07-08,121.54,32.26,Clay,3.14,153.06,52.75,0.551,3,28344.1,585267.19,71.25,3.88,27.61,7.47,3.29,1.63,52.48,68.88,Moderate
V2,2026-01-21,42.0,46.34,Clay,3.82,111.04,63.74,0.31,5,13378.04,694424.72,63.66,11.77,20.07,6.58,3.93,8.59,41.64,64.61,Moderate
V4,2026-04-13,132.09,21.3,Sandy,5.71,146.37,48.4,0.469,8,25917.27,501326.8,35.35,9.77,63.07,6.61,5.8,1.24,27.63,43.05,Low
V2,2026-05-02,154.28,37.66,Sandy,5.78,90.7,44.65,0.802,9,7333.4,610909.51,61.39,4.32,58.44,7.57,7.33,11.9,13.84,58.18,Moderate
V5,2026-08-03,105.08,45.25,Loamy,3.21,154.83,78.8,0.794,7,12321.4,466781.09,17.29,10.32,52.62,6.59,7.41,5.6,47.65,37.65,Low
